City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Neuquen,AR,2020-10-30 01:39:07,-38.95,-68.06,60.8,51,0,13.04
209,Mogok,MM,2020-10-30 01:39:07,22.92,96.5,70.93,89,84,0.85
210,Abha,SA,2020-10-30 01:39:07,18.22,42.51,55.4,40,0,3.18
211,Kahului,US,2020-10-30 01:36:21,20.89,-156.47,87.8,55,75,8.05
212,Tuensang,IN,2020-10-30 01:39:07,26.28,94.83,77.59,52,27,1.66
213,Portales,US,2020-10-30 01:39:07,34.19,-103.33,50.0,57,1,6.93
214,Borogontsy,RU,2020-10-30 01:37:25,62.67,131.17,-2.69,88,38,0.69
215,Hofn,IS,2020-10-30 01:39:07,64.25,-15.21,45.07,87,100,12.5
216,Ippy,CF,2020-10-30 01:39:07,6.27,21.22,68.16,99,92,2.19
217,Bozeman,US,2020-10-30 01:37:02,45.68,-111.04,45.0,60,1,5.68
218,Corinto,GR,2020-10-30 01:34:53,37.94,22.96,60.01,82,40,4.61
219,Narsaq,GL,2020-10-30 01:35:19,60.92,-46.05,30.2,80,51,3.36
220,Codrington,AU,2020-10-30 01:36:21,-38.27,141.97,59.65,78,0,12.24
221,Leningradskiy,RU,2020-10-30 01:39:07,69.38,178.42,17.29,88,51,13.87
222,Shubarshi,KZ,2020-10-30 01:39:07,48.59,57.19,38.37,70,100,8.28
223,Tianpeng,CN,2020-10-30 01:39:07,30.99,103.94,63.0,1,95,2.59
224,Maridi,SS,2020-10-30 01:39:07,4.92,29.47,68.32,96,100,3.33
225,Kruisfontein,ZA,2020-10-30 01:39:07,-34.0,24.73,55.0,84,16,1.01
226,Wawa,NG,2020-10-30 01:39:08,9.9,4.42,74.95,46,44,2.15
227,Port Hedland,AU,2020-10-30 01:39:08,-20.32,118.57,93.2,34,0,10.29
228,Macia,MZ,2020-10-30 01:39:08,-25.03,33.1,66.02,98,8,2.64
229,Lalmohan,BD,2020-10-30 01:39:08,22.34,90.74,81.68,80,68,9.44
230,Diego De Almagro,CL,2020-10-30 01:39:08,-26.37,-70.05,53.53,43,0,1.19
231,Puerto Escondido,MX,2020-10-30 01:39:08,15.85,-97.07,78.8,69,90,4.7
232,Bundaberg,AU,2020-10-30 01:39:08,-24.85,152.35,86.0,45,0,12.75
233,Swan River,CA,2020-10-30 01:39:08,52.11,-101.27,26.37,97,79,6.4
